ticker,year,fieldid,fieldname,value,valuescore
AGRO3,2016,1,ESGScore,D,0.0985063092
AGRO3,2017,1,ESGScore,D,0.0855122517
AGRO3,2018,1,ESGScore,D+,0.1838502879
AGRO3,2019,1,ESGScore,D,0.1268108402
AGRO3,2020,1,ESGScore,D,0.1224961023
AGRO3,2021,1,ESGScore,D,0.1057988243
AGRO3,2022,1,ESGScore,D-,0.0816003617
AGRO3,2023,1,ESGScore,D-,0.0624703058
MELI,2016,1,ESGScore,D+,0.2480208681
MELI,2017,1,ESGScore,C,0.3514556971
MELI,2018,1,ESGScore,C+,0.4539133617
MELI,2019,1,ESGScore,B-,0.5346893114
MELI,2020,1,ESGScore,B-,0.5287401290
MELI,2021,1,ESGScore,C+,0.4997885283
MELI,2022,1,ESGScore,B-,0.5160749066
MELI,2023,1,ESGScore,C+,0.4963660728
ALS,2011,1,ESGScore,C-,0.2974719504
ALS,2012,1,ESGScore,D+,0.2260149496
CBA,2011,1,ESGScore,B+,0.7113638761
CBA,2012,1,ESGScore,B+,0.7217414830
CBA,2013,1,ESGScore,B+,0.7241772305
CBA,2014,1,ESGScore,B+,0.7078791884
CBA,2015,1,ESGScore,A-,0.7859495746
CBA,2016,1,ESGScore,A-,0.8162743812
CBA,2017,1,ESGScore,A-,0.8200968058
CBA,2018,1,ESGScore,A-,0.8235885365
CBA,2019,1,ESGScore,A,0.8601103419
CBA,2020,1,ESGScore,A,0.8738010491
CBA,2021,1,ESGScore,A,0.9077862220
CBA,2022,1,ESGScore,A,0.9019206143
CBA,2023,1,ESGScore,A,0.9164141996
BKW,2015,1,ESGScore,D+,0.2036389780
BKW,2016,1,ESGScore,D+,0.2497516544
BKW,2017,1,ESGScore,C-,0.2896217313
BKW,2018,1,ESGScore,C,0.3834243743
BKW,2019,1,ESGScore,C+,0.4819097023
BKW,2020,1,ESGScore,B-,0.5089344279
BKW,2021,1,ESGScore,B-,0.5451286167
BKW,2022,1,ESGScore,B-,0.5394721384
BKW,2023,1,ESGScore,B-,0.5426480507
CDU,2011,1,ESGScore,D,0.1117384338
CDU,2012,1,ESGScore,D,0.0925703886
CDU,2013,1,ESGScore,D,0.0983002974
CDU,2014,1,ESGScore,D+,0.1923770762
CDU,2015,1,ESGScore,D,0.1491932467
CDU,2016,1,ESGScore,D+,0.1934641205
CDU,2017,1,ESGScore,D+,0.2465003169
CMJ,2011,1,ESGScore,D,0.1217695841
CMJ,2012,1,ESGScore,D,0.1276534278
GUD,2011,1,ESGScore,C-,0.2562895892
GUD,2012,1,ESGScore,D+,0.2365424012
GUD,2013,1,ESGScore,D+,0.2345768442
GUD,2014,1,ESGScore,C-,0.2507159813
